catalog_name,schema_name,table_name,column_name
catalog,public,ad_win,datetime
catalog,public,ad_win,ad_request_id
catalog,public,ad_win,creative_id
catalog,public,ad_win,price
catalog,public,ad_win,cost
catalog,public,ad_click,datetime
catalog,public,ad_click,ad_request_id
catalog,public,agg_monthly,ymd
catalog,public,agg_monthly,publisher_id
catalog,public,agg_monthly,browser_id
catalog,public,agg_monthly,os_id
catalog,public,agg_monthly,postal_code
catalog,public,agg_monthly,impressions
catalog,public,agg_monthly,clicks
catalog,public,agg_monthly,views
catalog,public,agg_monthly,conversions
catalog,public,agg_monthly,spend
catalog,public,agg_monthly,cost
catalog,public,city,id
catalog,public,city,name
catalog,public,ad_view,datetime
catalog,public,ad_view,ad_request_id
catalog,public,agg_monthly_v2,ymd
catalog,public,agg_monthly_v2,publisher_id
catalog,public,agg_monthly_v2,browser_id
catalog,public,browser,id
catalog,public,browser,name
catalog,public,region,id
catalog,public,region,name
catalog,public,agg_daily,brand_id
catalog,public,agg_daily,impressions
catalog,public,agg_daily,clicks
catalog,public,agg_daily,views
catalog,public,agg_daily,conversions
catalog,public,agg_daily,spend
catalog,public,agg_daily,cost
catalog,public,ad_request,datetime
catalog,public,ad_request,ad_request_id
catalog,public,ad_request,publisher_id
catalog,public,ad_request,browser_id
catalog,public,ad_request,os_id
catalog,public,ad_request,country_id
catalog,public,ad_request,city_id
catalog,public,ad_request,region_id
catalog,public,ad_request,postal_code
catalog,public,brand_category,id
catalog,public,brand_category,name
catalog,public,ad_combined,ad_request_id
catalog,public,ad_combined,price
catalog,public,ad_combined,conversion
catalog,public,ad_conversion,datetime
catalog,public,ad_conversion,ad_request_id
catalog,public,creative,id
catalog,public,creative,name
catalog,public,creative,brand_id
catalog,public,operating_system,id
catalog,public,operating_system,name
catalog,public,brand,id
catalog,public,brand,name
catalog,public,brand,brand_category_id
catalog,public,agg_hourly,conversions
catalog,public,agg_hourly,spend
catalog,public,agg_hourly,cost
catalog,public,ad_combined,cost
catalog,public,ad_combined,click
catalog,public,ad_combined,view
catalog,public,agg_hourly,impressions
catalog,public,agg_hourly,clicks
catalog,public,agg_hourly,views
catalog,public,agg_daily,ymd
catalog,public,ad_combined,datetime
catalog,public,agg_hourly,ymd
catalog,public,agg_monthly,city_id
catalog,public,agg_monthly,region_id
catalog,public,agg_monthly,country_id
catalog,public,agg_monthly,creative_id
catalog,public,agg_monthly,brand_id
catalog,public,agg_monthly_v2,os_id
catalog,public,agg_monthly_v2,postal_code
catalog,public,agg_monthly_v2,city_id
catalog,public,agg_monthly_v2,region_id
catalog,public,agg_monthly_v2,country_id
catalog,public,agg_monthly_v2,creative_id
catalog,public,agg_monthly_v2,brand_id
catalog,public,agg_monthly_v2,impressions
catalog,public,agg_monthly_v2,clicks
catalog,public,agg_monthly_v2,views
catalog,public,agg_monthly_v2,conversions
catalog,public,agg_monthly_v2,spend
catalog,public,agg_monthly_v2,cost
catalog,public,agg_daily,publisher_id
catalog,public,agg_daily,browser_id
catalog,public,agg_daily,os_id
catalog,public,agg_daily,postal_code
catalog,public,agg_daily,city_id
catalog,public,agg_daily,region_id
catalog,public,agg_daily,country_id
catalog,public,agg_daily,creative_id
catalog,public,ad_combined,publisher_id
catalog,public,ad_combined,browser_id
catalog,public,ad_combined,os_id
catalog,public,ad_combined,postal_code
catalog,public,ad_combined,city_id
catalog,public,ad_combined,region_id
catalog,public,ad_combined,country_id
catalog,public,ad_combined,creative_id
catalog,public,agg_hourly,hour
catalog,public,agg_hourly,publisher_id
catalog,public,agg_hourly,browser_id
catalog,public,agg_hourly,os_id
catalog,public,agg_hourly,postal_code
catalog,public,agg_hourly,city_id
catalog,public,agg_hourly,region_id
catalog,public,agg_hourly,country_id
catalog,public,agg_hourly,creative_id
catalog,public,agg_hourly,brand_id
